ID,Item_Outlet_Sales
FDW58OUT049,1769.2656172030838
FDW14OUT017,1397.0511728420242
NCN55OUT010,2046.888451910083
FDQ58OUT017,2598.6891520884383
FDY38OUT027,5187.974042589616
FDH56OUT046,2042.1937026653613
FDL48OUT018,592.8182563959563
FDC48OUT027,2777.424256871731
FDN33OUT045,1508.948102455921
FDA36OUT017,3116.2779400454456
FDT44OUT017,2069.480074742416
FDQ56OUT045,1401.9642453650595
NCC54OUT019,1857.1405247243965
FDU11OUT049,2037.1760169069894
DRL59OUT013,723.063506101229
FDM24OUT049,2514.564050569621
FDI57OUT045,3184.230471459159
DRC12OUT018,2772.5971715198393
NCM42OUT027,3203.4455142023653
FDA46OUT010,1173.4859590036067
FDA31OUT013,2897.9378033881367
NCJ31OUT035,3971.201295011764
FDG52OUT046,692.5053254328959
NCL19OUT019,472.3465897625283
FDS10OUT035,2953.1120155608223
FDX22OUT010,1481.9063566438854
NCF19OUT035,853.3469038619369
NCE06OUT046,2627.0864360641135
DRC27OUT046,3937.420051918787
FDE21OUT035,1928.4347959951265
NCR42OUT019,-1388.8950772844037
FDX51OUT018,2905.333974226538
NCR06OUT018,446.4107012213062
FDU31OUT027,5024.697811765509
FDU59OUT017,2756.5164899863303
FDR03OUT027,4760.358988364445
FDS49OUT027,2703.9729472856125
FDD48OUT010,-45.94848199172702
NCF18OUT017,3139.937548519709
NCD43OUT027,3105.833523634079
NCD54OUT018,2018.8102763543866
FDY19OUT010,-63.27043484877504
NCY54OUT017,2860.1125771930965
NCL19OUT018,2172.154793182199
FDP23OUT010,1596.5369748887751
FDC26OUT013,1777.0438298041845
FDR14OUT010,-1014.384783582027
NCS41OUT035,2965.206875814096
FDF41OUT035,3979.899685985467
FDU34OUT046,2042.2155916017946
DRH11OUT046,952.9354777768021
FDM03OUT013,1741.0808973826497
FDS31OUT017,3097.6994326014683
FDJ20OUT017,2149.7129710255685
FDV44OUT027,4564.884058646829
FDG02OUT049,3027.897269879497
FDA09OUT013,2919.5823524858715
FDT04OUT013,501.52959016257955
FDL58OUT019,2285.4482636968896
FDE52OUT045,1420.8208359856653
FDW12OUT035,2444.56891544041
FDL51OUT017,3533.9522851201473
NCY42OUT027,3704.407314931421
FDR07OUT017,1724.0112028919684
FDN40OUT045,2350.9186541409
FDB35OUT027,2840.6912652583414
FDA22OUT017,2748.630370860541
NCL06OUT046,4207.880656974696
FDI35OUT013,2822.266800857178
NCW42OUT045,3442.4738491957396
NCX06OUT049,2900.9046267282683
FDC37OUT027,3203.0342431885947
FDZ14OUT018,1744.0484816168319
DRG49OUT049,3918.8576462457713
NCG06OUT045,3995.93241010778
DRC36OUT045,2701.812665295409
FDV21OUT019,55.359355769716785
FDB53OUT046,2380.290270084821
DRP47OUT019,2030.9101197195123
FDA14OUT013,2226.008560446513
DRC24OUT035,2481.04082315306
FDW21OUT018,1416.070728836392
NCH29OUT046,1600.699266472424
FDU58OUT013,3071.118732133793
FDY27OUT017,2950.077164933042
FDV56OUT035,1934.5225909975998
FDT59OUT046,3639.8082275265187
FDB23OUT046,3570.3174099978933
FDR49OUT045,653.8327204141242
FDB03OUT010,1942.2975412053056
FDN39OUT045,2616.9722695681558
FDX02OUT027,4996.5494699419505
FDQ16OUT027,3147.1083084043494
FDU35OUT018,1381.1428632548777
NCT29OUT013,1942.6585487721022
FDZ27OUT046,854.9919586355536
FDN57OUT017,2341.5383372742654
FDA03OUT018,2089.678951323018
FDZ36OUT045,2947.4680433029716
NCU05OUT013,1298.7206426947669
FDT39OUT018,2222.473232242468
FDK60OUT017,1694.389736987534
FDZ25OUT017,2787.521761631593
FDG12OUT046,1917.1899942420132
DRB01OUT019,1174.1691700110387
NCC43OUT027,5416.934773711968
FDX13OUT019,1993.136837253027
FDM22OUT049,938.5438117544982
FDJ03OUT027,2271.230935353291
FDU14OUT018,3715.028335686875
FDB33OUT010,721.0394922113628
FDP27OUT046,3105.1089824147784
FDO38OUT010,-711.4328193048132
FDE28OUT027,5119.553138113042
FDO27OUT035,1650.3298895876505
DRL23OUT027,3133.4269853230653
FDS28OUT046,961.4639954067097
FDX24OUT013,1540.0217679747147
FDZ02OUT035,1666.7265476358589
FDL46OUT045,1800.351098111103
FDS60OUT027,4315.973277211888
NCO06OUT017,626.7665400982951
FDO16OUT035,1429.957261206975
FDC60OUT049,1497.456000820297
FDA48OUT018,3260.149297256852
FDZ36OUT027,4465.992781368361
FDK27OUT045,1895.8628432431578
FDW23OUT018,416.4742528213974
FDM14OUT018,1480.6570772145642
FDM14OUT013,1722.7765199986752
FDW60OUT018,2643.0849226344435
FDE21OUT013,1975.1268749381707
NCM42OUT035,1842.0253302363417
FDY59OUT010,-358.45131511021464
DRI49OUT049,1305.852225471288
FDT28OUT019,460.01230317556474
FDQ22OUT018,402.90774034407514
FDR60OUT049,1176.431647152509
FDC50OUT019,-560.8010189734341
FDV24OUT013,2467.749507386543
DRF48OUT010,1097.4233755863243
FDQ47OUT046,703.9237997537712
DRN36OUT049,1655.2124864140787
NCY06OUT035,2122.6538485830533
FDE52OUT035,1553.4659081658756
NCB54OUT045,1943.2858011618664
NCF31OUT035,2514.410205507098
FDJ08OUT027,4547.275686756067
NCC07OUT017,1789.3099869563302
NCD19OUT027,2323.5006351725606
FDL46OUT049,1945.862187067978
FDM20OUT045,3940.4586448588525
NCI06OUT010,972.3549432414584
DRM11OUT035,4169.672988060935
NCH07OUT018,2263.5214008858748
FDS23OUT013,2122.013561706335
FDO49OUT018,563.6067196999211
FDS35OUT049,1126.5615132379899
DRK39OUT045,1279.5423756821256
DRI39OUT049,984.4651429672376
FDV04OUT017,2614.4316857055383
NCN14OUT035,3079.133668431503
FDH08OUT013,3794.1842777684215
FDS20OUT046,3059.383488384221
FDV40OUT049,1225.9954861383012
FDZ48OUT010,-125.26547885115724
FDS24OUT027,2898.4674540269043
FDK44OUT049,2890.0563362325192
FDS48OUT045,2357.76637773485
FDK26OUT010,1083.8493435970304
FDD23OUT045,2886.1468450075627
NCH54OUT017,2562.1000927413697
NCP14OUT010,-201.8045255419711
FDM60OUT010,-1202.3656140737803
FDV24OUT017,2542.5122265913087
FDH08OUT018,3485.830554576183
FDS12OUT027,3490.64647871918
FDR39OUT027,4339.515784805859
FDP12OUT027,2095.497376010433
DRF60OUT027,5177.726381510496
FDC09OUT035,1835.7909945364954
FDF50OUT018,2959.041552488634
FDG28OUT035,3954.7149820182094
NCE19OUT017,1002.7267932421382
NCM53OUT010,-207.5035825138184
NCN18OUT049,1829.664339068433
FDF32OUT035,3323.914191652977
FDF11OUT013,3775.4084509173263
DRI59OUT049,3593.8764299929026
NCG54OUT035,2771.4722770333756
FDM44OUT046,1768.0829775258462
FDT57OUT018,3508.3214467871294
FDV24OUT046,2489.076929483068
FDI50OUT019,1694.4451477902476
FDS09OUT035,949.2901815482473
NCC31OUT027,3912.722421368322
FDQ07OUT019,1664.4843201494077
FDC22OUT017,3189.0352116873983
FDZ56OUT046,2832.989570356309
FDZ40OUT019,-1069.468638559796
FDS46OUT027,3375.3025637699757
DRD24OUT045,2155.3682181869517
FDV45OUT017,3114.317041964503
FDL26OUT045,2372.332426170862
FDA56OUT018,1815.921912714126
FDN27OUT046,1948.28347908688
FDM20OUT049,4028.1948461657885
FDO16OUT017,1426.5137583765754
FDL03OUT035,3226.000619525046
FDE58OUT046,1920.3956706395547
FDI02OUT027,3226.4830823554075
NCC55OUT019,-1393.774605396924
FDR03OUT018,3066.185282730483
FDB14OUT017,1559.4497659165208
FDR45OUT013,3755.6785322433716
NCN07OUT017,2284.6538660345104
FDM51OUT019,-229.49771711330686
FDT52OUT027,5333.591735387032
FDL26OUT046,2463.8122428082424
NCZ42OUT046,3851.4827307499654
DRI47OUT019,374.6365228109207
FDW40OUT013,2260.154435133896
FDN34OUT046,2781.158308901635
FDS01OUT035,2890.3644056493795
NCG55OUT045,1786.3562452666229
FDC11OUT035,1373.8954136651882
FDX35OUT018,3410.3543794119614
NCB06OUT046,2564.424519746797
FDR09OUT019,2206.7117489479133
FDC53OUT017,1643.6817601021176
FDY45OUT013,4078.2764215622155
FDA22OUT010,704.8925599505455
FDE02OUT035,1571.7346790135343
FDW21OUT045,1606.9855813408794
FDV34OUT046,1281.4821904128912
FDS59OUT049,1841.7063328991062
NCW17OUT017,2111.678248977856
NCK54OUT046,1926.5088060855633
FDG17OUT019,1957.6697015110403
FDG35OUT017,2792.278975220659
FDD08OUT010,-1176.0851809366359
NCO07OUT017,3585.6901264202606
